City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country
0,Majene,-3.5403,118.9707,26.03,85,91,0.4,overcast clouds,ID
1,Souillac,-20.5167,57.5167,26.21,78,40,3.6,scattered clouds,MU
2,Jamestown,42.097,-79.2353,6.12,78,100,4.63,overcast clouds,US
3,Saskylakh,71.9167,114.0833,-24.06,100,45,1.86,scattered clouds,RU
4,Oppdal,62.5943,9.6912,-12.94,99,77,1.94,broken clouds,NO
5,Mataura,-46.1927,168.8643,13.07,68,94,5.23,overcast clouds,NZ
6,Port Alfred,-33.5906,26.891,11.77,83,46,0.89,scattered clouds,ZA
7,Bandarbeyla,9.4942,50.8122,26.29,80,47,3.17,scattered clouds,SO
8,Fare,-16.7,-151.0167,27.56,76,11,7.64,few clouds,PF
9,Butaritari,3.0707,172.7902,27.27,79,100,6.0,light rain,KI
10,North Bend,43.4065,-124.2243,21.07,72,0,4.63,clear sky,US
11,Chokurdakh,70.6333,147.9167,-19.36,82,79,2.77,broken clouds,RU
12,Port Lincoln,-34.7333,135.8667,19.17,72,3,3.05,clear sky,AU
13,Ames,42.0347,-93.6199,2.9,89,100,9.26,overcast clouds,US
14,Punta Arenas,-53.15,-70.9167,5.06,75,0,2.06,clear sky,CL
15,New Norfolk,-42.7826,147.0587,15.51,56,11,0.95,few clouds,AU
16,Avarua,-21.2078,-159.775,30.03,70,20,5.14,few clouds,CK
17,Chaozhou,23.6651,116.6379,15.92,58,1,0.82,clear sky,CN
18,Mitzic,0.7821,11.549,21.35,97,44,1.27,light rain,GA
19,Hobart,-42.8794,147.3294,16.26,74,20,3.09,few clouds,AU
20,Rajshahi,24.3667,88.6,24.3,70,18,2.84,few clouds,BD
21,Saint George,37.1041,-113.5841,26.81,9,0,0.0,clear sky,US
22,Cape Town,-33.9258,18.4232,16.26,68,0,8.75,clear sky,ZA
23,Khatanga,71.9667,102.5,-16.19,93,97,4.77,overcast clouds,RU
24,Klaksvik,62.2266,-6.589,2.51,64,100,14.56,overcast clouds,FO
25,Hermanus,-34.4187,19.2345,13.48,80,4,4.9,clear sky,ZA
26,Qaanaaq,77.484,-69.3632,-21.18,69,7,3.39,clear sky,GL
27,Kruisfontein,-34.0033,24.7314,13.82,77,34,3.21,light rain,ZA
28,Palmer,42.1584,-72.3287,9.23,80,100,2.57,light rain,US
29,Rikitea,-23.1203,-134.9692,26.37,72,3,7.11,clear sky,PF
30,Kapaa,22.0752,-159.319,27.99,71,20,7.72,few clouds,US
31,Husavik,66.0449,-17.3389,-4.02,81,100,0.85,overcast clouds,IS
32,Ushuaia,-54.8,-68.3,3.81,70,20,5.14,few clouds,AR
33,Tuktoyaktuk,69.4541,-133.0374,-5.0,74,75,3.09,broken clouds,CA
34,Bluff,-46.6,168.3333,13.75,61,76,12.88,broken clouds,NZ
35,Ugoofaaru,5.6667,73.0,28.82,65,67,1.09,broken clouds,MV
36,Svetlogorsk,52.6333,29.7333,8.84,68,100,6.98,overcast clouds,BY
37,Torbay,47.6666,-52.7314,1.82,94,100,7.72,overcast clouds,CA
38,Puerto Ayora,-0.7393,-90.3518,26.23,82,18,2.83,few clouds,EC
39,Hilo,19.7297,-155.09,25.85,76,100,6.69,moderate rain,US
40,Quimperle,47.8667,-3.55,10.42,87,100,2.06,light rain,FR
41,Salalah,17.0151,54.0924,25.37,56,100,0.84,overcast clouds,OM
42,Khandyga,62.6667,135.6,-5.16,84,100,0.56,overcast clouds,RU
43,Abu Dhabi,24.4667,54.3667,26.06,61,0,1.03,clear sky,AE
44,Kodiak,57.79,-152.4072,2.73,75,100,5.66,light snow,US
45,Busselton,-33.65,115.3333,19.82,72,92,4.13,overcast clouds,AU
46,Seropedica,-22.7439,-43.7075,23.77,95,56,0.66,broken clouds,BR
47,Ponta Do Sol,32.6667,-17.1,16.35,73,52,1.02,broken clouds,PT
48,Celestun,20.8667,-90.4,26.11,87,58,10.44,broken clouds,MX
49,Bilibino,68.0546,166.4372,-19.64,84,72,0.74,broken clouds,RU
50,Coihaique,-45.5752,-72.0662,10.34,87,20,1.54,few clouds,CL
51,Kushiro,42.975,144.3747,1.53,93,75,2.57,broken clouds,JP
52,Cockburn Town,21.4612,-71.1419,25.75,76,1,9.59,clear sky,TC
53,Port Elizabeth,-33.918,25.5701,15.05,90,40,6.17,moderate rain,ZA
54,Manado,1.487,124.8455,26.43,89,40,1.03,scattered clouds,ID
55,Guerrero Negro,27.9769,-114.0611,25.8,34,9,7.02,clear sky,MX
56,Pisco,-13.7,-76.2167,20.03,77,0,9.77,clear sky,PE
57,Kichera,55.9375,110.0997,-1.34,86,86,1.98,overcast clouds,RU
58,Dovers,12.8833,-61.1833,25.77,74,17,8.26,few clouds,VC
59,Noumea,-22.2763,166.4572,29.99,99,97,9.09,light rain,NC
60,Yellowknife,62.456,-114.3525,3.29,44,20,4.12,few clouds,CA
